English,Vietnamese,POS,English Sentence,Vietnamese Sentence,English example,Vietnamese example,English source URL,Vietnamese source URL
EBL,bệnh bạch cầu ở bò,n," Enzootic bovine leukosis (EBL) is a chronic infectious disease of cattle caused by the bovine leukemia virus (BLV), leading to lymphosarcoma in a proportion of infected animals. ","Bệnh bạch cầu ở bò lưu hành địa phương là một bệnh truyền nhiễm mãn tính ở gia súc do virus gây bệnh bạch cầu ở bò (BLV) gây ra, dẫn đến ung thư hạch bạch huyết ở một tỷ lệ động vật bị nhiễm bệnh.","EBL Medical Abbreviation Meaning EBL Medical Abbreviation EBL in Medical commonly refers to Estimated Blood Loss , which is a calculation used to assess the amount of blood a patient has lost during surgery or trauma.","BỆNH BẠCH CẦU Ở BÒ LÀ MỘT YẾU TỐ NGUY CƠ CÓ THỂ CÓ TRONG SỰ PHÁT TRIỂN UNG THƯ VÚ Ở NGƯỜI - Khoa Thú y Skip to content Home / Kết quả nghiên cứu khoa học của Khoa Thú y , Publications , Thông tin tuyển sinh , Tin tức khoa học , Xuất bản quốc tế / Dự đoán thời gian chảy sản dịch sau sinh ở lợn nái Virus gây bệnh bạch cầu ở bò , một loại virus retrovirus, lây nhiễm vào tế bào B của động vật nhai lại và gây ra bệnh bạch cầu mạnh hoặc ung thư hạch ở gia súc, bệnh bạch cầu ở trâu bò .",https://www.allacronyms.com/EBL/medical,https://khoathuy.vnua.edu.vn/benh-bach-cau-o-bo-la-mot-yeu-to-nguy-co-co-the-co-trong-su-phat-trien-ung-thu-vu-o-nguoi.html
splenorrhaphy,khâu lách,n," The temporomaxillary vein, formed by the union of the superficial temporal and maxillary veins, drains into the retromandibular vein, playing a significant role in the venous drainage of the face and scalp. ","	Tĩnh mạch thái dương-hàm trên, được hình thành bởi sự hợp nhất của các tĩnh mạch thái dương nông và tĩnh mạch hàm trên, đổ vào tĩnh mạch sau hàm dưới, đóng một vai trò quan trọng trong việc dẫn lưu tĩnh mạch của mặt và da đầu.","Ask a Doctor Online Now Home Health articles blunt trauma Blood Health Verified data Splenorrhaphy - Diagnostic Aid, Surgical Procedures, and Differential Diagnosis 4 min read Unlike Heart Icon 0 Share Share Share Verified data Unlike Heart Icon 0 4 min read Share Share Share Outline The splenorrhaphy procedure helps preserve the spleen in injuries.","Bước 3: Nếu có tổn thương lách thì thực hiện các bước sau: Nhằm bộc lộ vùng lách, hay cắt dây chằng lách đại tràng, bác sĩ sẽ thực hiện hạ đại tràng góc lách Tiến hành giải phóng mặt sau lách bằng cách cắt dây chằng lách thận và tổ chức liên kết giữa lách và thận sát với cực trên và các nhánh vị ngắn Khâu vết thương lách bằng các bước đưa lách ra gần vết mổ, khâu lách bằng những mũi chữ U dọc theo hai mép của đường vỡ.",https://www.icliniq.com/articles/blood-health/splenorrhaphy,https://www.vinmec.com/vie/bai-viet/chan-thuong-va-khau-vet-thuong-lach-vi
diplegia,liệt hai chân,n,"  Cerebral palsy can manifest as spastic diplegia, affecting both legs more than the arms.  ","  Bại não có thể biểu hiện dưới dạng liệt hai chân co cứng, ảnh hưởng đến cả hai chân nhiều hơn tay.","Symptoms, Causes, and Management - Biology Insights Diplegia is a form of cerebral palsy that primarily affects muscle control and coordination in the legs.","Bệnh nhân liệt hai chân do chèn ép tủy, tình trạng nặng nề, đã di căn.",https://biologyinsights.com/what-is-diplegia-symptoms-causes-and-management/,https://benhvienthammythanhvan.com/tintuc/liet-hai-chan-moi-biet-ung-thu
VATER association,loạn sản VATER,n," The VATER association is a non-random cluster of congenital anomalies including Vertebral defects, Anal atresia, Tracheo-Esophageal fistula with esophageal atresia, and Radial and Renal dysplasia. "," Loạn sản VATER là một tập hợp không ngẫu nhiên các dị tật bẩm sinh bao gồm khuyết tật Đốt sống (Vertebral defects), Tịt hậu môn (Anal atresia), Rò khí-thực quản kèm teo thực quản (Tracheo-Esophageal fistula), và Loạn sản xương quay và thận (Radial and Renal dysplasia).","VACTERL Association - VATER Syndrome | Causes & Diagnosis Health Library VATER Syndrome/VACTERL Association What is VACTERL, VACTERLS or VATER association?",UNOBSERVED,https://www.cincinnatichildrens.org/health/v/vacterl,
periadventitial,quanh ngoại mạc,a,"  Periadventitial inflammation can contribute to the weakening of an arterial wall, potentially leading to aneurysm formation.  ","  Viêm quanh ngoại mạc có thể góp phần làm suy yếu thành động mạch, có khả năng dẫn đến hình thành phình mạch.","While there is much to learn about the potentials for adventitial and periadventitial stem/progenitor cells for vascular therapy and vascular disease, 49 the possibility of harnessing their potential for vascular repair is an attractive therapeutic objective.",UNOBSERVED,https://pmc.ncbi.nlm.nih.gov/articles/PMC4515770/,
Williams-Campbell syndrome,hội chứng Williams-Campbell,n,"  Williams-Campbell syndrome is a rare congenital disorder characterized by a deficiency of cartilage in the segmental bronchi, leading to bronchiectasis, chronic respiratory infections, and respiratory insufficiency.  ","  Hội chứng Williams-Campbell là một rối loạn bẩm sinh hiếm gặp đặc trưng bởi sự thiếu hụt sụn ở các phế quản phân đoạn, dẫn đến giãn phế quản, nhiễm trùng hô hấp mãn tính và suy hô hấp.","""The clinical manifestations, diagnosis and management of williams-campbell syndrome"" .",UNOBSERVED,https://en.wikipedia.org/wiki/Williams%E2%80%93Campbell_syndrome,
genu valgum,gối cong lõm ngoài,,"  Genu valgum, commonly known as knock-knees, is a condition where the knees angle in and touch each other when the legs are straightened.  ","  Gối cong lõm ngoài, thường được gọi là chân vòng kiềng chữ X, là một tình trạng mà đầu gối hướng vào trong và chạm vào nhau khi duỗi thẳng chân.",This activity reviews the evaluation and treatment of genu valgum and highlights the role of the interprofessional team in the care of patients with this condition.,UNOBSERVED,https://www.ncbi.nlm.nih.gov/sites/books/NBK559244/,
verumontanitis,viêm ụ núi,n," Verumontanitis, inflammation of the verumontanum (colliculus seminalis) in the prostatic urethra, can cause symptoms such as dysuria, perineal pain, and ejaculatory dysfunction. "," Viêm ụ núi, tình trạng viêm ụ núi (lồi tinh) trong niệu đạo tuyến tiền liệt, có thể gây ra các triệu chứng như tiểu khó, đau vùng đáy chậu và rối loạn chức năng xuất tinh.","VERUMONTANITIS Definition & Meaning | Merriam-Webster Medical ✨📕 The NEW Collegiate Dictionary, 12th Edition Over 5,000 words added — Learn More!",UNOBSERVED,https://www.merriam-webster.com/medical/verumontanitis,
phonal,âm,a,"  The clarity of phonal articulation is crucial for effective verbal communication, and disorders affecting the larynx or vocal cords can significantly impair an individual's ability to produce distinct speech sounds. ","  Sự rõ ràng của khớp âm là rất quan trọng đối với giao tiếp bằng lời nói hiệu quả, và các rối loạn ảnh hưởng đến thanh quản hoặc dây thanh âm có thể làm suy giảm đáng kể khả năng tạo ra các âm thanh lời nói riêng biệt của một cá nhân.","PHONAL Definition & Meaning - Merriam-Webster ✨📕 The NEW Collegiate Dictionary, 12th Edition Over 5,000 words added — Learn More!","Thư viện hình ảnh kết cấu cơ, xương, khớp mô tả đầy đủ các bệnh lý cần điều trị, dễ dàng giải thích cho bệnh nhân Các ứng dụng lâm sàng Suggested Protocol Setup được cài đặt sẵn.",https://www.merriam-webster.com/dictionary/phonal,https://binhduongmed.com/san-pham/may-sieu-am-dieu-tri/
iliococcygeal,xương chậu cụt,, The iliococcygeal muscle is part of the levator ani muscle group in the pelvic floor. , Cơ xương chậu cụt là một phần của nhóm cơ nâng hậu môn ở sàn chậu.,"Insertion The fibers of the iliococcygeus muscle travel posteromedially, where: - its superior fibers insert onto the anterolateral aspect of the coccyx; - its inferior fibers insert onto the iliococcygeal raphe, which is the midline intersection between the inferior fibers of the left and right iliococcygeus muscles.",UNOBSERVED,https://www.elsevier.com/resources/anatomy/muscular-system/pelvic-diaphragm/iliococcygeus-muscle/18212,
hydropyonephrosis,tích mủ nước tiểu bể thận,n," Severe, untreated pyelonephritis can progress to hydropyonephrosis, where the kidney's collecting system becomes distended with pus and urine. "," Viêm bể thận nặng không được điều trị có thể tiến triển thành tích mủ nước tiểu bể thận, nơi hệ thống thu thập của thận bị căng phồng chứa đầy mủ và nước tiểu.",Massive hydropyonephrosis on pediatric patient: A case report of management and source control - PMC Skip to main content Official websites use .gov A .gov website belongs to an official government organization in the United States.,UNOBSERVED,https://pmc.ncbi.nlm.nih.gov/articles/PMC11741043/,
saburral,thối,a," The neglected, deeply infected wound developed a saburral discharge, characterized by its thick, purulent, and malodorous nature, indicating a severe superimposed bacterial infection with significant tissue putrefaction and the need for urgent debridement and antibiotic therapy. "," Vết thương bị bỏ mặc, nhiễm trùng sâu đã phát triển dịch tiết thối, đặc trưng bởi tính chất đặc, có mủ và mùi hôi, cho thấy tình trạng bội nhiễm vi khuẩn nặng kèm theo hoại tử mô đáng kể và cần phải cắt lọc khẩn cấp cũng như điều trị bằng kháng sinh.",PENDING,PENDING,PENDING,PENDING
adephagia,háu ăn,n, Prader-Willi syndrome often presents with adephagia as a prominent symptom. ,Hội chứng Prader-Willi thường biểu hiện triệu chứng nổi bật là háu ăn .,"ADEPHAGIA definition and meaning | Collins English Dictionary English French German Italian Spanish Portuguese Hindi Chinese Korean Japanese Definitions Summary Synonyms Sentences Pronunciation Collocations Conjugations Grammar Credits × Definition of 'adephagia' COBUILD frequency band adephagia in American English noun Pathology bulimia Most material © 2005, 1997, 1991 by Penguin Random House LLC.","Háu ăn tâm thần xảy ra một cách tái diễn các cơn ăn vô độ, với các biểu hiện như: [ 1 ] Trong một khoảng thời gian hạn chế , người bệnh ăn một lượng thực phẩm quá nhiều hơn lượng thực phẩm mà đa số mọi người cùng ăn trong cùng một thời gian tương tự.",https://www.collinsdictionary.com/dictionary/english/adephagia,https://vi.wikipedia.org/wiki/Ch%E1%BB%A9ng_h%C3%A1u_%C4%83n
Baudelocque line,đường Beaudeloque,n," The Baudelocque line is an imaginary line connecting the posterior superior iliac spines, used as a reference in obstetrics. "," Đường Beaudeloque là một đường tưởng tượng nối các gai chậu sau trên, được sử dụng làm mốc trong sản khoa.",Baudelocque line en-academic.com EN RU DE ES FR Remember this site Embed dictionaries into your website Academic Dictionaries and s Medical dictionary Interpretations Medical dictionary Baudelocque line Baudelocque line conjugata externa pelvis .,UNOBSERVED,https://medicine.en-academic.com/137129/Baudelocque_line,
dysmorphosis,dị dạng,n," Craniofacial dysmorphosis can significantly impact not only a patient's appearance but also vital functions such as breathing, feeding, and speech, often requiring complex surgical interventions. ","Dị dạng sọ mặt có thể ảnh hưởng đáng kể không chỉ đến ngoại hình của bệnh nhân mà còn cả các chức năng quan trọng như hô hấp, ăn uống và nói, thường đòi hỏi các can thiệp phẫu thuật phức tạp.",PENDING,PENDING,PENDING,PENDING
chylocyst,túi nhũ trấp,n," The cisterna chyli is a dilated sac at the lower end of the thoracic duct that serves as a chylocyst, or reservoir for chyle. "," Bể dưỡng chấp là một túi giãn ở đầu dưới của ống ngực, hoạt động như một túi nhũ trấp, hay hồ chứa nhũ trấp.","In clinical settings, recognizing a chylocyst may help in diagnosing conditions involving the lymphatic system or disorders of fat metabolism.",túi nhũ trấp trong Tiếng Anh là gì?,https://ultimatelexicon.com/definitions/c/chylocyst/,https://englishsticky.com/tu-dien-viet-anh/t%C3%BAi%20nh%C5%A9%20tr%E1%BA%A5p.html
hyperesophoria,lác ẩn trên trong,n, Hyperesophoria is a type of strabismus where there is an upward and inward deviation of the eye that is only apparent when binocular vision is disrupted. , Lác ẩn trên trong là một loại lác mắt trong đó có sự lệch lên trên và vào trong của mắt chỉ rõ ràng khi tầm nhìn hai mắt bị gián đoạn.,PENDING,PENDING,PENDING,PENDING
odaxetic,gây ngứa,a,  Certain spicy foods can have an odaxetic effect on the oral mucosa for some individuals. ,  Một số loại thực phẩm cay có thể có tác dụng gây ngứa trên niêm mạc miệng đối với một số người.,odaxetic en-academic.com EN RU DE ES FR Remember this site Embed dictionaries into your website Academic Dictionaries and s Medical dictionary Interpretations Medical dictionary odaxetic odaxetic 1 .,"Mục lục Nguyên nhân gây ngứa Triệu chứng của ngứa Phương pháp chẩn đoán ngứa Phương pháp điều trị ngứa Biện pháp phòng ngừa ngứa Ngứa do rối loạn hệ thống miễn dịch Ngứa do bệnh da liễu Ngứa do dị ứng thực phẩm Ngứa trong thai kỳ Các phương pháp tự nhiên giảm ngứa Ngứa da và stress Ngứa do tác dụng phụ của thuốc Ngứa do bệnh lý tiềm ẩn Nguyên nhân gây ngứa Ngứa có thể do nhiều nguyên nhân khác nhau, từ các yếu tố bên ngoài đến các vấn đề sức khỏe tiềm ẩn.",https://medicine.en-academic.com/35345/odaxetic,https://memart.vn/tin-tuc/suc-khoe-3/ngua-cach-lam-diu-ngua-mot-cach-tu-nhien-va-hieu-qua-vi-cb.html
vinegaroon,bọ cạp giấm,n,"  A bite from a vinegaroon, a type of whip scorpion, is not venomous but can be painful due to its ability to spray a concentrated acetic acid mixture as a defense mechanism.  ","  Vết cắn của bọ cạp giấm, một loại bọ cạp roi, không có nọc độc nhưng có thể gây đau do khả năng phun hỗn hợp axit axetic đậm đặc như một cơ chế phòng vệ.","Uropygi - Wikipedia , the Order of arachnids known as whip scorpions Uropygi is an arachnid order comprising invertebrates commonly known as whip scorpions or vinegaroons .",Bọ cạp giấm có ích trong việc kiểm soát dân số gián và dế .,https://en.wikipedia.org/wiki/Uropygi,https://vi.wikipedia.org/wiki/B%E1%BB%8D_c%E1%BA%A1p_roi
neurotransmitter,trung gian thần kinh,n, Acetylcholine is an important neurotransmitter in both the central and peripheral nervous systems. , Acetylcholine là một trung gian thần kinh quan trọng trong cả hệ thần kinh trung ương và ngoại biên.,"Neurotransmitters pass messages from one nerve cell to another, and sometimes to muscles or glands .","Glycine có hoạt động giống như GABA, hoạt động chủ yếu ở các tế bào trung gian thần kinh của tủy sống và trong các vòng dẫn truyền làm giãn các cơ đối vận.",https://nigms.nih.gov/biobeat/2024/08/what-is-a-neurotransmitter,https://www.msdmanuals.com/vi/professional/r%E1%BB%91i-lo%E1%BA%A1n-th%E1%BA%A7n-kinh/ti%E1%BA%BFp-c%E1%BA%ADn-b%E1%BB%87nh-nh%C3%A2n-th%E1%BA%A7n-kinh/s%E1%BB%B1-d%E1%BA%ABn-truy%E1%BB%81n-th%E1%BA%A7n-kinh
labioglossopharyngeal paralysis,liệt hành tiến triển,n, Labioglossopharyngeal paralysis is a feature of amyotrophic lateral sclerosis (ALS). , Liệt hành tiến triển (Labioglossopharyngeal paralysis) là một đặc điểm của bệnh xơ cứng teo cơ một bên (ALS).,"Progressive Bulbar Paralysis Versions Standard Desktop Mobile Web Iphone/Ipad App Help Home Books: A to N Cardiovascular Medicine Dentistry Dermatology Emergency Medicine Endocrinology Gastroenterology Geriatric Medicine Gynecology Hematology and Oncology Human Immunodeficiency Virus Infectious Disease Jokes Mental Health Neonatology Nephrology Neurology Books: O to Z Obstetrics Ophthalmology Orthopedics Otolaryngology Pathology and Laboratory Medicine Pediatrics Pharmacology Practice Management Prevention Pulmonology Radiology Rheumatology Sports Medicine Surgery Urology Topic Index Home Web Apps About Updates Terms and Conditions Privacy Newsletter Signup Contact Books Brain Neurology Book Mental Health Book Head & Neck Dentistry Book Ophthalmology Book Otolaryngology Book Chest Cardiovascular Medicine Book Pulmonology Book Endocrine Endocrinology Book Abdomen Gastroenterology Book Obstetrics Book Gynecology Book Nephrology Book Surgery Book Urology Book Musculoskeletal Orthopedics Book Rheumatology Book Sports Medicine Book Skin Dermatology Book Infectious Disease Human Immunodeficiency Virus Book Infectious Disease Book Hematology & Oncology Hematology and Oncology Book Cohorts Gynecology Book Obstetrics Book Pediatrics Book Neonatology Book Geriatric Medicine Book Urology Book Diagnostics Radiology Book Laboratory Medicine Book Emergency Emergency Medicine Book Findings Symptoms Signs Procedures Procedures Prevention & Management Practice Management Book Prevention Book Pharmacy Pharmacology Book Medications EM Resuscitation ACLS/PALS Newborn Resuscitation Trauma ATLS Hemorrhagic Shock Emergency Procedures Emergency Procedures Advanced Airway Procedural Sedation Chemical Restraint Ultrasound Ultrasound Fast Exam Cardiovascular Emergencies Cardiogenic Shock Acute Coronary Syndrome Acute Limb Ischemia Syncope Lung Emergencies Asthma Management Infectious Disease Sepsis Pediatrics Pediatric Emergency Emergency Pediatric Dosing Apparent Life-Threatening Events Pediatric Dehydration Management Neurologic Emergencies Altered Level of Consciousness CVA Management Headache Management Dizziness Status Epilepticus Skin Skin Infection Animal Bite Envenomation Burn Injury Exposure Accidental Hypothermia Heat Related Illness NeedleStick Injury Miscellaneous Diabetic Ketoacidosis Hemodialysis Emergency Abuse Sexual Assault Intimate Partner Violence Elder Abuse Child Abuse Cancer Cancer Emergency Transition to Palliative Care Administration Patient Satisfaction Documentation advertisement Home Neurology Book Cranial Nerve Chapter Progressive Bulbar Paralysis Progressive Bulbar Paralysis Aka: Progressive Bulbar Paralysis , Progressive Bulbar Palsy , Duchenne's Syndrome , Duchenne's Paralysis , Labioglossopharyngeal Paralysis , Labioglossolaryngeal Paralysis , Bulbar Paralysis Neurology Cranial Nerve Chapter Abducens Cranial Nerve 6 Palsy Bells Bell's Palsy Facial Nerve Paralysis Causes Bulbar Progressive Bulbar Paralysis Infectious Disease Ramsay Hunt Syndrome Herpes Ophthalmicus From Related Chapters Anatomy Cranial Nerve Cranial Nerve 1 Cranial Nerve 2 Cranial Nerve 3 Cranial Nerve 4 Cranial Nerve 5 Cranial Nerve 6 Cranial Nerve 7 Cranial Nerve 8 Cranial Nerve 9 Cranial Nerve 10 Cranial Nerve 11 Cranial Nerve 12 Headache Disorders SUNCT Syndrome Cluster Headache Hemicrania Continua Paroxysmal Hemicrania Trigeminal Neuralgia Surgery Vagal Nerve Stimulator See Also Page Contents Amyotrophic Lateral Sclerosis Page Contents...","Nếu rối loạn chức năng khu trú ở vùng hành não, bệnh được gọi là liệt hành tiến triển.",https://fpnotebook.com/Neuro/CN/PrgrsvBlbrPrlys.htm,https://phcn-online.com/2023/04/13/xo-cung-cot-ben-teo-co-phan-1-benh-ly-chan-doan/
lapactic,tẩy,a,"  This herbal remedy is considered to have a mild lapactic effect, aiding in bowel regularity.  ","  Bài thuốc thảo dược này được coi là có tác dụng tẩy nhẹ, giúp điều hòa nhu động ruột.","LAPACTIC Definition & Meaning | Merriam-Webster Medical ✨📕 The NEW Collegiate Dictionary, 12th Edition Over 5,000 words added — Learn More!",Tẩy Trắng – Nam Dũng Medical Hotline: 0934.596.556 Liên hệ 25 Thông báo của tôi Thông báo 📢 MỞ ĐĂNG KÝ WORKSHOP CHUYÊN SÂU: Chẩn đoán hình ảnh hiện đại & Sinh bệnh học: Chìa khóa kiểm soát đau nội nha 20/11/2025 Xem chi tiết Công ty Nam Dũng tuyển dụng Nhân Viên Kinh Doanh Ngành Vật Liệu Nha Khoa tại Hà Nội và Hồ Chí Minh.,https://www.merriam-webster.com/medical/lapactic,https://namdungmedical.com/collections/tay-trang
liparodyspnea,khó thở ở người béo,n,  Liparodyspnea is difficulty breathing associated with obesity.  ,  Khó thở ở người béo (liparodyspnea) là tình trạng khó thở liên quan đến béo phì.,liparodyspnea en-academic.com EN RU DE ES FR Remember this site Embed dictionaries into your website Academic Dictionaries and s Medical dictionary Interpretations Medical dictionary liparodyspnea liparodyspnea lip · a · ro · dysp · nea the dyspnea of the obese .,"Theo đánh giá bệnh nhân, khó thở ở người béo phì đạt 25% tỉ lệ số bệnh nhân được chẩn đoán.",https://medicine.en-academic.com/137512/liparodyspnea,https://dripcare.vn/tin-tuc/thong-tin-y-khoa/moi-quan-he-giua-beo-phi-gay-kho-tho-la-gi
California Personality Inventory,bản kiểm tâm lý cá nhân California,n, The California Personality Inventory is a self-report inventory designed to measure personality traits. , Bản kiểm tâm lý cá nhân California là một bản kiểm tự báo cáo được thiết kế để đo các đặc điểm tính cách.,"California Psychological Inventory - Wikipedia , the Psychological test The California Psychological Inventory also known as California Personality Inventory [ 1 ] is a self-report inventory created by Harrison G.",UNOBSERVED,https://en.wikipedia.org/wiki/California_Psychological_Inventory,
heterophany,biều hiện khác nhau,n," Genetic mutations can sometimes lead to heterophany, where the expected phenotype is altered, resulting in các biểu hiện khác nhau. "," Đột biến gen đôi khi có thể dẫn đến biểu hiện khác kiểu, trong đó kiểu hình dự kiến bị thay đổi, dẫn đến các biểu hiện khác nhau.","We and our partners process data for the following purposes Personalised advertising and content, advertising and content measurement, audience re and services development , Store and/or access information on a device English Arabic German English Spanish French Hebrew Italian Japanese Korean BETA Dutch Polish Portuguese Romanian Russian Swedish Turkish Ukrainian Chinese Show more Czech Danish Greek Hindi Hungarian Persian Slovak Thai Show less German Definition Arabic German Spanish French Hebrew Italian Japanese Korean BETA Dutch Polish Portuguese Romanian Russian Swedish Turkish Ukrainian Chinese Show more Czech Danish English Greek Hindi Hungarian Persian Slovak Thai Show less heterophany - German-English English-German Favourites Advertising No ads with Premium Join Reverso, it's free and fast !",UNOBSERVED,https://context.reverso.net/translation/german-english/heterophany,
cusp,lá van,n,  The aortic valve typically has three cusps that open and close to regulate blood flow from the left ventricle.  ,  Van động mạch chủ thường có ba lá van mở và đóng để điều chỉnh lưu lượng máu từ tâm thất trái.,"CUSP is associated with improvements in patient safety, clinical outcomes, and safety culture.","Các nguyên nhân dẫn tới hở van 2 lá có thể là: Bệnh lý lá van Di chứng thấp tim: xơ hóa, dày, vôi, co rút lá van.",https://www.ahrq.gov/hai/tools/ambulatory-surgery/sections/implementation/implementation-guide/guide-cusp.html,https://bvnguyentriphuong.com.vn/noi-tim-mach/benh-ho-van-2-la-tong-quan
postmortem examination,khám nghiệm tử thi,n,"  A postmortem examination, also known as an autopsy, is crucial in unexplained deaths.  ","  Khám nghiệm tử thi, còn được gọi là mổ tử thi, rất quan trọng trong những trường hợp tử vong không rõ nguyên nhân.",Postmortem Examinations | Medical Examiner and Forensic Services Skip to main content Home About Us NAME Accreditation Our Personnel Annual and Special Reports What We Provide Postmortem Examinations Private Autopsies Request Autopsy Reports Forensic Anthropology Histology Services Neuropathology Services Resources for Funeral Directors Resources for Grieving Families Frequently Asked Questions Postmortem Examinations A postmortem examination is the examination of the decedent by a Medical Examiner or Deputy Medical Examiner.,"Ở lĩnh vực bệnh lý, khám nghiệm tử thi giúp đối chiếu triệu chứng lâm sàng với tổn thương mô học, phát hiện sai sót chẩn đoán, điều trị nhằm cải thiện chất lượng chăm sóc.",https://mimedicalexaminer.com/postexams,https://scholarhub.vn/topic/kh%C3%A1m%20nghi%E1%BB%87m%20t%E1%BB%AD%20thi
carbohemia,anhydric carbonic huyết,,"  Carbohemia is an obsolete term for hypercapnia, an excess of carbon dioxide in the blood.  ","  Anhydric carbonic huyết là một thuật ngữ lỗi thời để chỉ tăng CO2 máu, tình trạng dư thừa carbon dioxide trong máu.","Among patients with normocapnia, carbohemia was kept relatively stable in 24 patients , reversible hypercapnia occurred in 13 patients and 2 patients developed chronic hypercapnia.",UNOBSERVED,https://pmc.ncbi.nlm.nih.gov/articles/PMC4679936/,
hystereurynter,nong tử cung,n, A hystereurynter is an instrument used to dilate the cervix or uterine cavity. , Dụng cụ nong tử cung là một dụng cụ được sử dụng để làm giãn cổ tử cung hoặc khoang tử cung.,hystereurynter | Taber's Medical Dictionary Taber's Medical Dictionary Tags Type your tag names separated by a space and hit enter ＋ hystereurynter There's more to see -- the rest of this topic is available only to subscribers.,Bệnh nhân hoàn toàn sinh hoạt bình thường trở lại sau 1 - 2 ngày thực hiện nong tử cung.,https://www.tabers.com/tabersonline/view/Tabers-Dictionary/740835/all/hystereurynter,https://nhathuoclongchau.com.vn/bai-viet/phuong-phap-nong-co-tu-cung-la-gi-luu-y-khi-thuc-hien-thu-thuat-nong-co-tu-cung-72645.html
temporozygomatic,thái dương gò má,,  The temporozygomatic suture joins the temporal bone and the zygomatic bone.  ,  Đường khớp thái dương gò má nối xương thái dương và xương gò má.,Temporozygomatic suture | Radiology Reference Article | Radiopaedia.org About Articles Cases Courses Questions Quiz Recent Edits Supporters Log In Sign Up ADVERTISEMENT: Radiopaedia is free thanks to our supporters and advertisers.,Privacy Policy Storage Preferences Third Parties Storage Targeted Advertising Personalization Analytics Open menu Upload 0 ratings 0% found this document useful 5K views 287 pages Chuyên đề 2 - Gãy phức hợp gò má Uploaded by Duyên Duyên You are on page 1 287 CHUYÊN ĐỀ 2: GÃY PHỨC HỢP GÒ MÁ NHÓM 1 - RHM18 Ths.BSNT Nguyễn Văn Thắng Recommended Download to read ad-free Tổ 2 - RHM17 - Bệnh Án Cắn Khớp PDF From Scribd 66 pages 6.9K views Tổ 2 - RHM17 - Bệnh Án Cắn Khớp 100% Thành viên: ● Chu Tuấn Anh ● Trần Bảo Anh ● Ngô Đào Ngọc Ánh ● Lê Thị Ngọc Ánh ● Bùi Kim Chi ● Võ Thành Trung ● Đinh Thị Công Dun g ● Bùi Thị Mỹ Duyên ● Võ Viết Đạt ● Nguyễn Phụng Hiền ● Nguyễn Nhựt Hưng ● Hồ Thị Hương ● Nguyễn Duy Khoa ● Phan Nguyễn Song Lam Recommended Download to read ad-free bệnh án phẫu thuật miệng PDF From Scribd 18 pages 2.3K views bệnh án phẫu thuật miệng 100% https://www .slideshare.net/DRHI MANSHUSON I/zygomatic-complex-fracture-zmc?from_se arch=4 Recommended Download to read ad-free Bùi Văn Thoàng - U Tuyến nước bọt mang tai PDF From Scribd 13 pages 1.1K views Bùi Văn Thoàng - U Tuyến nước bọt mang tai No ratings yet NỘI DUNG ● Giới thiệu ● Giải phẫu phẫu thuật ● Cơ chế chấn thương ● Phân loại ● Dấu hiệu & triệu chứng ● Khám lâm sàng & Xquang ● Lịch sử điều trị ● Các bước điều trị ● Phẫu thuật gãy phức hợp gò má hàm ● Biến chứng Recommended Download to read ad-free BỆNH ÁN RĂNG TRẺ EM 1 THI PDF From Scribd 21 pages 2.0K views BỆNH ÁN RĂNG TRẺ EM 1 THI 100% Recommended Download to read ad-free Nang Xuong Ham PDF From Scribd 15 pages 2.5K views Nang Xuong Ham 100% Recommended Download to read ad-free Điều trị sang thương vùng chẽ PDF From Scribd 9 pages 2.7K views Điều trị sang thương vùng chẽ 100% Recommended Download to read ad-free Bệnh Án Bệnh Học Miệng 1 PDF From Scribd 15 pages 1.7K views Bệnh Án Bệnh Học Miệng 1 No ratings yet Recommended Download to read ad-free BÀI 2.,https://radiopaedia.org/articles/temporozygomatic-suture,https://www.scribd.com/presentation/657986815/Chuyen-%C4%91%E1%BB%81-2-Gay-ph%E1%BB%A9c-h%E1%BB%A3p-go-ma
acidosic,nhiễm acid,a," The patient was acidosic, showing signs of acidosis. "," Bệnh nhân nhiễm acid, có dấu hiệu nhiễm acid.",PENDING,PENDING,PENDING,PENDING
chylopneumothorax,tràng nhũ trấp khí màng phổi,,  A chylopneumothorax is the accumulation of both chyle and air in the pleural space.  ,  Tràng nhũ trấp khí màng phổi là sự tích tụ của cả nhũ trấp và không khí trong khoang màng phổi.,"CHYLOPNEUMOTHORAX Definition & Meaning | Merriam-Webster Medical ✨📕 The NEW Collegiate Dictionary, 12th Edition Over 5,000 words added — Learn More!",UNOBSERVED,https://www.merriam-webster.com/medical/chylopneumothorax,
