English,Vietnamese,POS,English Sentence,Vietnamese Sentence,English example,Vietnamese example
cervicodynia,đau cổ,n," Cervicodynia, or neck pain, can be caused by muscle strain, arthritis, or nerve compression. "," Đau cổ, hay chứng đau cổ, có thể do căng cơ, viêm khớp hoặc chèn ép dây thần kinh.",PENDING,PENDING
knob,cúc,n, The terminal bouton is the presynaptic ending of an axon. , Cúc tận là đầu tận cùng trước synap của một sợi trục.,PENDING,PENDING
laryngopyocele,u khí mủ thanh quản,n,  A laryngopyocele is an infected laryngocele containing pus.  ,  U khí mủ thanh quản là một u khí thanh quản bị nhiễm trùng chứa mủ.,PENDING,PENDING
nephroscopy,soi thận,n, Nephroscopy allows for direct visualization and biopsy of the kidney's interior. , Soi thận cho phép quan sát trực tiếp và sinh thiết bên trong thận.,PENDING,PENDING
nematologist,giun tròn,n, A nematologist studies the biology and impact of nematode worms. , Một nhà nghiên cứu giun tròn nghiên cứu sinh học và tác động của giun tròn.,PENDING,PENDING
ectophyte,thực vật ngoại ký sinh,n," An ectophyte is a plant that lives on the surface of another organism, but does not derive nutrients from it. "," Thực vật ngoại ký sinh là một loài thực vật sống trên bề mặt của một sinh vật khác, nhưng không lấy chất dinh dưỡng từ nó.",PENDING,PENDING
platyspondylisis,dẹt đốt sống,n,"  Platyspondylisis, or platyspondyly, is characterized by flattened vertebrae.  ","  Dẹt đốt sống, hay đốt sống dẹt, được đặc trưng bởi các đốt sống bị dẹt.",PENDING,PENDING
trichorrhexis,tóc nổ hột,n,"  Trichorrhexis nodosa, a common hair shaft disorder, presents as small, whitish nodes along the hair shaft where the cuticle has frayed, causing the hair to weaken and break at these points. ","  Tóc nổ hột (Trichorrhexis nodosa), một rối loạn phổ biến của thân tóc, biểu hiện dưới dạng các nốt nhỏ, màu trắng dọc theo thân tóc, nơi lớp biểu bì bị sờn, khiến tóc yếu đi và gãy ở những điểm này.",PENDING,PENDING
ganglioblast,nguyên bào hạch thần kinh,n,  A ganglioblast is an embryonic cell that develops into a ganglion cell.  ,  Nguyên bào hạch là một tế bào phôi phát triển thành tế bào hạch.,PENDING,PENDING
paraparesis,liệt nhẹ chi dưới,n," Spinal cord injuries can result in paraparesis, causing weakness in the lower limbs. "," Tổn thương tủy sống có thể dẫn đến liệt nhẹ chi dưới, gây yếu ở chi dưới.",PENDING,PENDING
calcaneocuboid,xương gót hộp,,  The calcaneocuboid joint is a joint in the foot between the calcaneus and the cuboid bone.  ,  Khớp xương gót hộp là một khớp ở bàn chân giữa xương gót và xương hộp.,PENDING,PENDING
bibeveled,hai mặt nghiêng,,"  A bibeveled needle has two beveled surfaces, creating a sharper point.  ","  Một cây kim hai mặt nghiêng có hai bề mặt vát, tạo ra một đầu nhọn hơn.",PENDING,PENDING
cardiac impression on liver,tác động của tim lên gan,n,"  The cardiac impression on liver, a concavity on its visceral surface, accommodates the heart.  ","  Tác động của tim lên gan, một chỗ lõm trên bề mặt nội tạng của gan, là nơi chứa tim.",PENDING,PENDING
alphodermia,vô sắc tố da,n,Vitiligo is a type of alphodermia characterized by patches of depigmented skin.,Bệnh bạch biến là một loại vô sắc tố da (alphodermia) đặc trưng bởi các mảng da bị mất sắc tố.,PENDING,PENDING
allotropic,thù hình,a,  Sulfur exhibits several allotropic forms at different temperatures.  ,  Lưu huỳnh thể hiện một số dạng thù hình ở các nhiệt độ khác nhau.,PENDING,PENDING
visceroperitoneal,nội tạng màng bụng,, The visceroperitoneal surface refers to the surface of an abdominal organ that is covered by the peritoneum. , Bề mặt nội tạng màng bụng đề cập đến bề mặt của một cơ quan trong ổ bụng được phúc mạc bao phủ.,PENDING,PENDING
ethology,hành vi học,n," Ethology, the scientific study of animal behavior, particularly in natural environments, focuses on understanding the adaptive significance of various behaviors. "," Hành vi học, nghiên cứu khoa học về hành vi động vật, đặc biệt là trong môi trường tự nhiên, tập trung vào việc tìm hiểu ý nghĩa thích nghi của các hành vi khác nhau.",PENDING,PENDING
angioleucitis,viêm mạch bạch huyết,n,"Angioleucitis, or lymphangitis, is the inflammation of lymphatic vessels, often appearing as red streaks under the skin extending from an infected area.","Viêm mạch bạch huyết, hay viêm mạch bạch huyết, là tình trạng viêm các mạch bạch huyết, thường xuất hiện dưới dạng các vệt đỏ dưới da kéo dài từ vùng bị nhiễm trùng.",PENDING,PENDING
intra-acinous,trong chùm nang,a,  Intra-acinous ducts are small channels located within the acini of exocrine glands.  ,  Các ống trong chùm nang là những kênh nhỏ nằm trong các nang của tuyến ngoại tiết.,PENDING,PENDING
zoomastigophorean,về zooomastigophora,a,"  A zoomastigophorean protozoan is a member of the Zoomastigophora class (or phylum), characterized by the presence of one or more flagella for motility and a heterotrophic mode of nutrition, including many parasitic forms like trypanosomes.  ","  Động vật nguyên sinh Về zooomastigophora (zoomastigophorean) là một thành viên của lớp (hoặc ngành) Zoomastigophora, được đặc trưng bởi sự hiện diện của một hoặc nhiều roi để vận động và phương thức dinh dưỡng dị dưỡng, bao gồm nhiều dạng ký sinh như trypanosome.",PENDING,PENDING
hemiterata,bán dị hình,n," Hemiterata refers to organisms exhibiting minor congenital malformations, not severe enough to be classified as full terata. "," Bán dị hình đề cập đến các sinh vật biểu hiện dị tật bẩm sinh nhỏ, không đủ nghiêm trọng để được phân loại là dị tật hoàn toàn.",PENDING,PENDING
polyperiostitis,viêm màng xương ở nhiều xương,n,  Polyperiostitis is inflammation of the periosteum of multiple bones.  ,  Viêm màng xương ở nhiều xương là tình trạng viêm màng xương của nhiều xương.,PENDING,PENDING
contrainsular,ức chế tiết insulin,a," Certain hormones have a contrainsular effect, opposing the action of insulin. "," Một số hormone có tác dụng ức chế tiết insulin, chống lại tác dụng của insulin.",PENDING,PENDING
acromiocoracoid,mỏm cùng vai mỏm quạ,,  The acromiocoracoid ligament connects the acromion to the coracoid process of the scapula.  ,  Dây chằng mỏm cùng vai mỏm quạ nối mỏm cùng vai với mỏm quạ của xương vai.,PENDING,PENDING
revulsive,làm chuyển máu,a,"  A revulsive agent, such as capsaicin cream, works by stimulating and then desensitizing nerve endings in the skin, thereby modulating pain signals from underlying tissues","  Một tác nhân làm chuyển máu (gây xung huyết ngược), chẳng hạn như kem capsaicin, hoạt động bằng cách kích thích và sau đó làm giảm độ nhạy của các đầu dây thần kinh trên da, qua đó điều chỉnh các tín hiệu đau từ các mô bên dưới",PENDING,PENDING
intermittent,từng cơn,a,  Intermittent claudication is characterized by leg pain that occurs during exercise and resolves with rest.  ,  Đau cách hồi được đặc trưng bởi cơn đau chân từng cơn xảy ra khi tập thể dục và giảm khi nghỉ ngơi.,PENDING,PENDING
circumference,chu vi,n,  The circumference of the patient's head was measured to monitor for hydrocephalus.  ,  Chu vi đầu của bệnh nhân được đo để theo dõi bệnh não úng thủy.,PENDING,PENDING
delayed shock,sốc muộn,n,  Delayed shock can occur hours after an initial injury if internal bleeding is not controlled.  ,  Sốc muộn có thể xảy ra vài giờ sau chấn thương ban đầu nếu chảy máu trong không được kiểm soát.,PENDING,PENDING
triolein,olein,n," Triolein, a triglyceride formed from glycerol and three units of oleic acid, is a common dietary fat found in olive oil and other vegetable oils, serving as a significant energy source for the body. "," Olein (Triolein), một triglyceride được hình thành từ glycerol và ba đơn vị axit oleic, là một chất béo phổ biến trong chế độ ăn uống được tìm thấy trong dầu ô liu và các loại dầu thực vật khác, đóng vai trò là nguồn năng lượng quan trọng cho cơ thể.",PENDING,PENDING
BDA,Hội Nha khoa Anh quốc,n, The BDA (British Dental Association) is the professional association and trade union for dentists in the United Kingdom. ,Hội Nha khoa Anh quốc là hiệp hội nghề nghiệp và công đoàn của các nha sĩ tại Vương quốc Anh.,PENDING,PENDING
Jefferson syndrome,hội chứng Jefferson,n,"  Jefferson syndrome, or cavernous sinus syndrome, involves ophthalmoplegia and sensory loss due to lesions affecting the cavernous sinus.  ","  Hội chứng Jefferson, hay hội chứng xoang hang, bao gồm liệt vận nhãn và mất cảm giác do các tổn thương ảnh hưởng đến xoang hang.",PENDING,PENDING
ESF,yếu tố kích thích tạo máu,n, Erythropoietin is a well-known ESF (Erythropoietic Stimulating Factor) that is crucial for regulating red blood cell production in response to hypoxia. ," Erythropoietin là một yếu tố kích thích tạo máu (ESF) nổi tiếng, rất quan trọng để điều chỉnh sản xuất tế bào hồng cầu để đáp ứng với tình trạng thiếu oxy.",PENDING,PENDING
disjunction,phân tách,n, The disjunction of the two ideas made the argument difficult to follow. , Sự phân tách của hai ý tưởng đã làm cho lập luận khó theo dõi.,PENDING,PENDING
hyperploidy,siêu bội,n, Hyperploidy can arise from errors during cell division. , Siêu bội có thể phát sinh từ các lỗi trong quá trình phân chia tế bào.,PENDING,PENDING
photechy,cảm ứng bức xạ,n,"Certain motile algae exhibit photechy, moving towards a light source to optimize photosynthesis.","Một số loài tảo di động thể hiện sự cảm ứng bức xạ, di chuyển về phía nguồn sáng để tối ưu hóa quá trình quang hợp.",PENDING,PENDING
crucible,chén nung,n, A crucible is a ceramic or metal container in which metals or other substances may be melted or subjected to very high temperatures. , Chén nung là một vật chứa bằng gốm hoặc kim loại trong đó kim loại hoặc các chất khác có thể được nấu chảy hoặc chịu nhiệt độ rất cao.,PENDING,PENDING
Haemophilus vaginalis,vi khuẩn Haemophilus vaginalis,, The organism previously called Haemophilus vaginalis is now classified as Gardnerella vaginalis and is associated with bacterial vaginosis. , Sinh vật trước đây được gọi là vi khuẩn Haemophilus vaginalis nay được phân loại là Gardnerella vaginalis và có liên quan đến bệnh viêm âm đạo do vi khuẩn.,PENDING,PENDING
pyknomorphic,hình thái dày đặc,a,  The pyknomorphic appearance of the cell nucleus indicated cellular degeneration.  ,  Hình thái dày đặc của nhân tế bào cho thấy sự thoái hóa tế bào.,PENDING,PENDING
meprobamate,thuốc chống lo âu,n,"  Meprobamate is an anxiolytic medication of the carbamate class, formerly widely used to treat anxiety and tension.  ","  Meprobamate là một thuốc chống lo âu thuộc nhóm carbamate, trước đây được sử dụng rộng rãi để điều trị lo âu và căng thẳng.",PENDING,PENDING
morphinomania,nghiện mocphin,n,  Morphinomania is an obsolete term for morphine dependence.  ,  Nghiện mocphin (Morphinomania) là một thuật ngữ lỗi thời để chỉ sự phụ thuộc vào morphine.,PENDING,PENDING
antimyasthenic,chống nhược cơ,a,Pyridostigmine is an antimyasthenic drug that improves neuromuscular transmission in patients with myasthenia gravis.,Pyridostigmine là một loại thuốc chống nhược cơ giúp cải thiện sự dẫn truyền thần kinh cơ ở bệnh nhân nhược cơ.,PENDING,PENDING
parapophysis,mỏm ngang đốt sống,n," The parapophysis is a transverse process arising from the vertebral centrum, particularly in lower vertebrates. "," Mỏm ngang đốt sống là một mỏm ngang phát sinh từ thân đốt sống, đặc biệt ở các động vật có xương sống bậc thấp.",PENDING,PENDING
radiocystitis,viêm bàng quang do phóng xạ liệu pháp,n," Radiocystitis, inflammation of the bladder due to radiation therapy, can cause pain and urinary frequency. "," Viêm bàng quang do phóng xạ liệu pháp, tình trạng viêm bàng quang do xạ trị, có thể gây đau và tiểu nhiều lần.",PENDING,PENDING
lathyrogenic,gây ngộ độc đậu liên lý,a,  Ingestion of seeds containing lathyrogenic compounds can lead to skeletal deformities and neurological damage.  ,  Việc ăn phải hạt chứa các hợp chất gây ngộ độc đậu liên lý có thể dẫn đến biến dạng xương và tổn thương thần kinh.,PENDING,PENDING
convolutionary,hồi,a, The complex convolutionary structure allows for greater cognitive capacity. ,Cấu trúc hồi phức tạp cho phép năng lực nhận thức lớn hơn.,PENDING,PENDING
cyclochoroiditis,viêm màng mạch thể mi,, Cyclochoroiditis is an inflammation of the ciliary body and the choroid. , Viêm màng mạch thể mi là tình trạng viêm thể mi và màng mạch.,PENDING,PENDING
Trypanosoma,trùng mũi khoan,n," Trypanosoma brucei is a species of parasitic protozoa transmitted by tsetse flies, causing African trypanosomiasis, also known as sleeping sickness, in humans and animals. "," Trùng mũi khoan (Trypanosoma brucei) là một loài động vật nguyên sinh ký sinh được truyền qua ruồi tse-tse, gây bệnh trypanosomiasis châu Phi, còn được gọi là bệnh ngủ, ở người và động vật.",PENDING,PENDING
ego-ideal,lý tưởng tự ngã,n, The ego-ideal represents the aspirations and values that an individual strives to achieve. , Lý tưởng tự ngã đại diện cho những khát vọng và giá trị mà một cá nhân cố gắng đạt được.,PENDING,PENDING
atmotherapy,liệu pháp xông,n, Atmotherapy involves the therapeutic use of medicated vapors or steam inhalation. ,Liệu pháp xông bao gồm việc sử dụng trị liệu hơi thuốc hoặc xông hơi.,PENDING,PENDING
actinotherapy,quang liệu pháp,n, Actinotherapy is treatment with light or other forms of radiation. , Quang liệu pháp là điều trị bằng ánh sáng hoặc các dạng bức xạ khác.,PENDING,PENDING
anal columns,cột hậu môn,n,The anal columns (of Morgagni) are longitudinal folds of mucous membrane in the upper part of the anal canal.,Các cột hậu môn (của Morgagni) là các nếp gấp dọc của niêm mạc ở phần trên của ống hậu môn.,PENDING,PENDING
divagation,nói huyên thuyên,n," During the manic phase of bipolar disorder, an individual may exhibit divagation, characterized by rapid, pressured speech that jumps between unrelated topics, making coherent conversation difficult. "," Trong giai đoạn hưng cảm của rối loạn lưỡng cực, một cá nhân có thể biểu hiện triệu chứng nói huyên thuyên, đặc trưng bởi lời nói nhanh, dồn dập, nhảy từ chủ đề này sang chủ đề khác không liên quan, khiến cuộc trò chuyện mạch lạc trở nên khó khăn.",PENDING,PENDING
neuroskeleton,bộ xương thần kinh,n," The neuroskeleton, in some contexts, can refer to the bony structures protecting the central nervous system, like the skull and vertebral column. "," Bộ xương thần kinh, trong một số trường hợp, có thể đề cập đến các cấu trúc xương bảo vệ hệ thần kinh trung ương, như hộp sọ và cột sống.",PENDING,PENDING
tympania,chướng bụng,n," Intestinal obstruction or excessive gas production can lead to tympania, a condition characterized by abdominal distension due to the accumulation of gas in the gastrointestinal tract. "," Tắc ruột hoặc sản xuất khí quá mức có thể dẫn đến chướng bụng, một tình trạng đặc trưng bởi trướng bụng do tích tụ khí trong đường tiêu hóa.",PENDING,PENDING
lallation,nói bập bẹ,n," Lallation, or lalling, is a common stage in infant speech development characterized by babbling or imperfect articulation. "," Nói bập bẹ (Lallation) là một giai đoạn phổ biến trong quá trình phát triển ngôn ngữ của trẻ sơ sinh, đặc trưng bởi việc nói bập bẹ hoặc phát âm không hoàn hảo.",PENDING,PENDING
Howship lacuna,khuyết Howship,n,  Osteoclasts reside in shallow depressions on the bone surface called Howship lacuna as they resorb bone tissue.  ,  Các hủy cốt bào nằm trong các chỗ lõm nông trên bề mặt xương được gọi là khuyết Howship khi chúng tiêu hủy mô xương.,PENDING,PENDING
pediculus,chấy rận,n,  The species Pediculus humanus capitis is the head louse.  ,  Loài Pediculus humanus capitis là chấy rận trên đầu.,PENDING,PENDING
initis,viêm cơ,n,"  Myositis, sometimes referred to as initis, is inflammation of muscle tissue.  ","  Viêm cơ, đôi khi được gọi là initis, là tình trạng viêm của mô cơ.",PENDING,PENDING
Veress needle,kim Veress,n," The Veress needle is a specialized, spring-loaded needle used to create pneumoperitoneum by safely insufflating carbon dioxide into the abdominal cavity prior to laparoscopic surgery. "," Kim Veress là một loại kim chuyên dụng, có lò xo, được sử dụng để tạo khoang khí phúc mạc bằng cách bơm khí carbon dioxide vào khoang bụng một cách an toàn trước khi phẫu thuật nội soi.",PENDING,PENDING
nonparous,chưa sinh đẻ,a,  A nonparous woman is one who has not given birth to a child.  ,  Phụ nữ chưa sinh đẻ là người chưa từng sinh con.,PENDING,PENDING
nicking,hẹp khu trú huyết quản võng mạc,n,"  Retinal examination revealed arteriovenous nicking, a sign of chronic hypertension.  ","  Khám võng mạc cho thấy dấu hiệu hẹp khu trú huyết quản võng mạc ở chỗ bắt chéo động tĩnh mạch, một dấu hiệu của tăng huyết áp mãn tính.",PENDING,PENDING
chlamydospore,bào tử vách dày,n," A chlamydospore is a thick-walled asexual spore formed by some fungi, enabling survival in harsh conditions. "," Bào tử vách dày là một loại bào tử vô tính có vách dày được hình thành bởi một số loại nấm, giúp chúng tồn tại trong điều kiện khắc nghiệt.",PENDING,PENDING
denitrify,khử nitrogen,v,"  Certain bacteria can denitrify soil, leading to a loss of nitrogen available to plants.  ","  Một số vi khuẩn có thể khử nitrogen trong đất, dẫn đến mất nitơ có sẵn cho thực vật.",PENDING,PENDING
anephrogenesis,không có thận,n,"Bilateral renal agenesis, or anephrogenesis, is the congenital absence of both kidneys.","Bất sản thận hai bên, hay không có thận, là tình trạng bẩm sinh không có cả hai thận.",PENDING,PENDING
neuromatosis,u thần kinh,n, Neuromatosis is a condition characterized by the presence of multiple neuromas. , Bệnh u thần kinh được đặc trưng bởi sự hiện diện của nhiều khối u thần kinh.,PENDING,PENDING
sinuatrial valve,van 2 lá,,"  The mitral valve, or sinuatrial valve, controls blood flow between the left atrium and the left ventricle.  ","  Van hai lá, hay van nhĩ thất trái, kiểm soát dòng máu chảy giữa tâm nhĩ trái và tâm thất trái.",PENDING,PENDING
enchylema,nguyên sinh chất trong suốt,n," In older biological texts, enchylema was sometimes used to refer to the more fluid, less structured ground substance of the cytoplasm, distinct from the formed organelles, essentially the nguyên sinh chất trong suốt. ","Trong các văn bản sinh học cũ hơn, thuật ngữ nguyên sinh chất trong suốt đôi khi được sử dụng để chỉ chất nền lỏng hơn, ít cấu trúc hơn của tế bào chất, khác biệt với các bào quan đã hình thành.",PENDING,PENDING
monomphalus,liên thai dính rốn,n,  A monomphalus is a type of conjoined twin fused at the umbilicus.  ,  Liên thai dính rốn là một loại song sinh dính liền ở rốn.,PENDING,PENDING
screening,nghiệm pháp chọn lọc,n," Newborn screening programs implement a battery of tests to detect congenital metabolic disorders early, allowing for timely intervention to prevent severe developmental consequences. "," Các chương trình nghiệm pháp chọn lọc sơ sinh thực hiện một loạt các xét nghiệm để phát hiện sớm các rối loạn chuyển hóa bẩm sinh, cho phép can thiệp kịp thời để ngăn ngừa các hậu quả phát triển nghiêm trọng.",PENDING,PENDING
globulysis,dung huyết,n,  Understanding the mechanisms of globulysis is important in transfusion medicine to ensure blood compatibility and prevent hemolytic transfusion reactions. ,  Hiểu các cơ chế của dung huyết là rất quan trọng trong y học truyền máu để đảm bảo tính tương thích của máu và ngăn ngừa các phản ứng tan máu do truyền máu.,PENDING,PENDING
weak contact,tiếp xúc kém,n,"  A weak contact between an electrode and the patient's skin during an ECG recording can result in artifact and an unreliable tracing, potentially obscuring important diagnostic information about cardiac electrical activity. ","  Sự tiếp xúc kém giữa điện cực và da của bệnh nhân trong quá trình ghi điện tâm đồ có thể dẫn đến nhiễu và kết quả ghi không đáng tin cậy, có khả năng che khuất thông tin chẩn đoán quan trọng về hoạt động điện của tim.",PENDING,PENDING
antischistosomal,diệt sán máng,"n,a", Public health programs may include mass drug administration with antischistosomal medications in endemic areas. , Các chương trình y tế công cộng có thể bao gồm việc cấp phát thuốc diệt sán máng hàng loạt tại các vùng lưu hành bệnh.,PENDING,PENDING
choreic,múa giật,a," The patient exhibited choreic movements, which are involuntary, irregular, and non-rhythmic. "," Bệnh nhân biểu hiện các cử động múa giật, không tự chủ, không đều và không theo nhịp điệu.",PENDING,PENDING
ambivalence,lưỡng trị,n," In psychoanalytic theory, ambivalence refers to the coexistence of opposing emotions, such as love and hate, towards the same object. "," Trong lý thuyết phân tâm học, lưỡng trị đề cập đến sự cùng tồn tại của các cảm xúc đối lập, chẳng hạn như yêu và ghét, đối với cùng một đối tượng.",PENDING,PENDING
microsporosis,bệnh nấm tiểu bào tử,n,"  Microsporosis is a superficial fungal infection of the skin or hair, typically caused by fungi of the genus Microsporum.  ","  Bệnh nấm tiểu bào tử là một bệnh nhiễm nấm bề mặt ở da hoặc tóc, thường do nấm thuộc chi Microsporum gây ra.",PENDING,PENDING
uroureter,ứ niệu niệu quản,n,"  Uroureter, also known as hydroureter, refers to the dilation of the ureter due to an accumulation of urine, usually caused by an obstruction downstream.  ","  Ứ niệu niệu quản, còn được gọi là giãn niệu quản, đề cập đến sự giãn nở của niệu quản do tích tụ nước tiểu, thường do tắc nghẽn ở hạ lưu.",PENDING,PENDING
homologous chromosomes,nST tương đồng,n,"  Homologous chromosomes are pairs of chromosomes, one inherited from each parent, that have the same genes in the same loci but may have different alleles.  ","  NST tương đồng là các cặp nhiễm sắc thể, một được thừa hưởng từ mỗi bố mẹ, có các gen giống nhau ở các locus giống nhau nhưng có thể có các alen khác nhau.",PENDING,PENDING
washout cannula,ống thông rửa sạch mô,n,"  During certain surgical procedures, particularly in otolaryngology or neurosurgery where precise fluid irrigation and suction are needed, a specialized washout cannula is employed to clear the operative field of blood and debris. ","  Trong một số thủ thuật phẫu thuật nhất định, đặc biệt là trong tai mũi họng hoặc phẫu thuật thần kinh nơi cần tưới rửa và hút dịch chính xác, một Ống thông rửa sạch mô chuyên dụng được sử dụng để làm sạch vùng phẫu thuật khỏi máu và mảnh vụn.",PENDING,PENDING
aftervision,"thị giác lưu tồn, hậu tượng",,"  Aftervision, the persistence of a visual sensation after the stimulus has ceased, is a normal physiological phenomenon.  ","  Thị giác lưu tồn, hay hậu tượng, sự tồn tại của một cảm giác thị giác sau khi kích thích đã chấm dứt, là một hiện tượng sinh lý bình thường.",PENDING,PENDING
protopathic,nguyên phát,a,"  Protopathic sensation refers to the more primitive senses, like pain and temperature extremes.  ","  Cảm giác nguyên phát đề cập đến các giác quan nguyên thủy hơn, như đau và nhiệt độ khắc nghiệt.",PENDING,PENDING
squama,vảy,n," Tension headache, the most common type of primary headache, is often described as a constant, dull ache or pressure on both sides of the head, frequently associated with muscle tightness in the neck and shoulders. ","	Đau đầu do căng thẳng, loại đau đầu nguyên phát phổ biến nhất, thường được mô tả là một cơn đau âm ỉ, liên tục hoặc cảm giác căng tức ở cả hai bên đầu, thường liên quan đến sự căng cơ ở cổ và vai.",PENDING,PENDING
osteocopic,nhức xương,a,  Syphilitic periostitis can cause characteristic osteocopic pains.  ,  Viêm màng xương do giang mai có thể gây ra những cơn đau nhức xương (osteocopic) đặc trưng.,PENDING,PENDING
endotheliosis,bệnh nội mô,n,"  Endotheliosis is a term used to describe various pathological conditions affecting the endothelium, particularly in preeclampsia.  ","  Bệnh nội mô là một thuật ngữ được sử dụng để mô tả các tình trạng bệnh lý khác nhau ảnh hưởng đến nội mô, đặc biệt là trong tiền sản giật.",PENDING,PENDING
transubstantiation,thay thế mô,n,"  The concept of transubstantiation in tissue engineering refers to the ideal scenario where a biodegradable scaffold is gradually replaced by newly regenerated, functional host tissue. ","  Khái niệm thay thế mô trong kỹ thuật mô đề cập đến kịch bản lý tưởng trong đó một khung đỡ phân hủy sinh học được thay thế dần bằng mô chủ mới được tái tạo, có chức năng.",PENDING,PENDING
modulator,tác nhân điều biến,n,  Neurotransmitters act as a modulator of synaptic activity in the nervous system.  ,  Chất dẫn truyền thần kinh hoạt động như một tác nhân điều biến hoạt động synap trong hệ thần kinh.,PENDING,PENDING
Cajal bodies,thể Cajal,n," Cajal bodies, also known as coiled bodies, are nuclear organelles found in the nuclei of proliferating cells. "," Thể Cajal, còn được gọi là thể xoắn, là các cơ quan tử nhân được tìm thấy trong nhân của các tế bào đang tăng sinh.",PENDING,PENDING
cell,buồng xép,n, The ethmoidal labyrinth contains numerous air cells. , Mê đạo sàng chứa nhiều buồng xép khí.,PENDING,PENDING
phorocyte,tế bào mô liên kết,n,A phorocyte is a connective tissue cell that plays a critical role in wound healing by synthesizing the extracellular matrix.,Tế bào mô liên kết đóng một vai trò quan trọng trong việc chữa lành vết thương bằng cách tổng hợp chất nền ngoại bào.,PENDING,PENDING
perseveration,tiếp diễn,n," Despite being told the topic had changed, the patient showed perseveration by continuing to talk about his previous thought. "," Mặc dù đã được thông báo rằng chủ đề đã thay đổi, bệnh nhân vẫn cho thấy sự tiếp diễn bằng cách tiếp tục nói về suy nghĩ trước đó của mình.",PENDING,PENDING
parotidectomy,cắt bỏ tuyến mang tai,n, A parotidectomy may be necessary to remove tumors or treat chronic infections of the parotid gland. , Cắt bỏ tuyến mang tai có thể cần thiết để loại bỏ khối u hoặc điều trị nhiễm trùng mãn tính của tuyến mang tai.,PENDING,PENDING
Hertwig sheath,bao Hertwig,n," The Hertwig sheath, or Hertwig's epithelial root sheath (HERS), plays a crucial role in tooth root development. "," Bao Hertwig, hay bao biểu mô chân răng Hertwig (HERS), đóng một vai trò quan trọng trong sự phát triển chân răng.",PENDING,PENDING
posterior,tuỷ trắng sau của tuỷ sống,n,  The posterior white column of the spinal cord contains ascending sensory tracts.  ,  Tuỷ trắng sau của tuỷ sống chứa các bó cảm giác đi lên.,PENDING,PENDING
morpio,rận lông,n,  Infestation with morpio can cause intense itching.  ,  Nhiễm rận lông có thể gây ngứa dữ dội.,PENDING,PENDING
aplanatism,tương phẳng,n,"Microscope objectives strive for aplanatism to produce sharp, undistorted images.","Vật kính hiển vi phấn đấu đạt được tương phẳng để tạo ra hình ảnh sắc nét, không bị biến dạng.",PENDING,PENDING
kinocilium,động tiên mao,n, A kinocilium is a specialized true cilium found on hair cells of the cochlea and vestibular system. , Động tiên mao (kinocilium) là một lông mao thực sự chuyên biệt được tìm thấy trên các tế bào lông của ốc tai và hệ thống tiền đình.,PENDING,PENDING
syringoid,đường rò,a,"  Chronic inflammation and infection can lead to the formation of a syringoid tract, or fistula, which is an abnormal, tube-like passage connecting an internal organ or cavity to the body surface or another internal structure.  ","  Một đường rò là một kênh bệnh lý nối liền hai bề mặt biểu mô, ví dụ như rò hậu môn nối ống hậu môn với da quanh hậu môn.",PENDING,PENDING
"fibroma molle,",u xơ mềm,,"  A fibroma molle, or soft fibroma, is a common benign skin tag.  ","  U xơ mềm, hay còn gọi là fibroma molle, là một mụn thịt lành tính phổ biến trên da.",PENDING,PENDING
gelatinous,tựa như keo,a,"  Wharton's jelly, a gelatinous substance within the umbilical cord, provides cushioning and support to the umbilical vessels, protecting them from compression. ","  Thạch Wharton, một chất tựa như keo trong dây rốn, cung cấp lớp đệm và hỗ trợ cho các mạch máu rốn, bảo vệ chúng khỏi bị chèn ép.",PENDING,PENDING
cardiac electrophysiologic study,khảo sát điện tim,n,  A cardiac electrophysiologic study helps diagnose arrhythmias by mapping the heart's electrical activity.  ,  Khảo sát điện tim giúp chẩn đoán rối loạn nhịp tim bằng cách lập bản đồ hoạt động điện của tim.,PENDING,PENDING
nodi lymphoidei supratrochleares,hạch trên ròng rọc,n,"  The nodi lymphoidei supratrochleares, also known as epitrochlear nodes, are located superior to the medial epicondyle of the humerus.  ","  Các hạch trên ròng rọc, còn được gọi là hạch trên lồi cầu trong, nằm ở phía trên lồi cầu trong của xương cánh tay.",PENDING,PENDING
bronchomucotropic,kích tăng tiết phế quản,a, Certain expectorants have a bronchomucotropic effect. ,  Một số thuốc long đờm có tác dụng kích tăng tiết phế quản.,PENDING,PENDING
antipsychomotor,ức chế tâm thần vận động,a, Certain sedatives can have an antipsychomotor effect. , Một số thuốc an thần có thể có tác dụng ức chế tâm thần vận động.,PENDING,PENDING
thallophyte,thực vật có tản,n,"  The biological classification system has largely moved away from grouping organisms simply as thallophyte entities, now favoring phylogenetic relationships based on genetic and molecular data to define distinct kingdoms and clades. ","  Hệ thống phân loại sinh học phần lớn đã không còn nhóm các sinh vật đơn thuần là các thực thể thực vật có tản (thallophyte), mà hiện nay ưa chuộng các mối quan hệ phát sinh loài dựa trên dữ liệu di truyền và phân tử để xác định các giới và nhánh riêng biệt.",PENDING,PENDING
